City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,25.25,47,7,5.9,MG,1690707600
1,bac lieu,9.285,105.7244,31.32,61,98,5.68,VN,1690783200
2,ta`u,-14.2336,-169.5144,27.48,72,88,4.44,AS,1690783200
3,bloemfontein,-29.1211,26.214,24.07,20,33,10.06,ZA,1690545600
4,batticaloa,7.7102,81.6924,33.04,47,98,0.71,LK,1690610400
5,edinburgh of the seven seas,-37.0676,-12.3116,15.47,86,100,17.63,SH,1690761600
6,puerto natales,-51.7236,-72.4875,5.42,91,80,4.16,CL,1690653600
7,evans,33.5337,-82.1307,39.9,26,12,3.38,US,1690750800
8,alofi,-19.0595,-169.9187,23.1,85,97,7.23,NU,1690621200
9,port-aux-francais,-49.35,70.2167,6.38,96,100,17.84,TF,1690858800
10,vilyuysk,63.7553,121.6247,26.67,40,51,2.05,RU,1690524000
11,ribeira grande,38.5167,-28.7,24.58,79,7,2.54,PT,1690740000
12,murun-kuren,49.6342,100.1625,28.24,38,70,3.82,MN,1690794000
13,grytviken,-54.2811,-36.5092,1.63,99,100,4.39,GS,1690718400
14,adamstown,-25.066,-130.1015,19.96,68,89,4.06,PN,1690534800
15,moro,26.6646,68.0016,42.07,29,1,4.03,PK,1690804800
16,kailua-kona,19.6406,-155.9956,27.72,67,0,3.06,US,1690491600
17,nyrob,60.733,56.7202,30.08,45,68,3.36,RU,1690718400
18,penzance,50.1186,-5.5371,17.65,91,98,5.9,GB,1690470000
19,waitangi,-43.9535,-176.5597,12.15,85,77,11.41,NZ,1690858800
20,acapulco de juarez,16.8634,-99.8901,32.9,59,82,5.71,MX,1690491600
21,khorixas,-20.3667,14.9667,29.34,13,7,3.91,NA,1690470000
22,vorgashor,67.5833,63.95,25.24,52,13,5.36,RU,1690718400
23,howrah,22.5892,88.3103,35.33,53,80,5.12,IN,1690794000
24,landvetter,57.6866,12.2117,21.3,57,56,3.71,SE,1690632000
25,queenstown,-31.8976,26.8753,23.21,28,1,11.56,ZA,1690545600
26,yellowknife,62.456,-114.3525,25.06,34,31,6.83,CA,1690664400
27,lebu,-37.6167,-73.65,15.03,79,100,1.04,CL,1690740000
28,san patricio,28.017,-97.5169,37.08,34,1,4.55,US,1690826400
29,hasaki,35.7333,140.8333,31.6,72,16,6.32,JP,1690437600
30,isafjordur,66.0755,-23.124,12.59,71,62,2.9,IS,1690815600
31,suva,-18.1416,178.4415,22.86,57,77,3.58,FJ,1690761600
32,nagoya,35.1815,136.9064,37.41,41,36,3.78,JP,1690437600
33,constantia,44.1833,28.65,27.6,47,3,5.2,RO,1690707600
34,taoudenni,22.6783,-3.9836,48.49,3,52,6.2,ML,1690642800
35,al burayqah,30.4062,19.5739,29.83,59,0,5.81,LY,1690804800
36,tekeli,44.83,78.8239,34.58,13,41,6.72,KZ,1690448400
37,punta arenas,-53.15,-70.9167,5.55,84,99,6.43,CL,1690632000
38,fruita,39.1589,-108.729,38.31,8,7,7.68,US,1690578000
39,petropavlovsk-kamchatsky,53.0452,158.6483,18.01,75,60,4.12,RU,1690437600
